"Cell_ID","lon","lat","Area_km2","fe_diversity_norm"
1606,127.5,27.5,10926.0621466725,0
1607,127.5,28.5,10825.6562207627,0
1611,127.5,31.5,10504.7872250978,0
1612,127.5,32.5,10391.3847262419,0
1613,127.5,33.5,10274.8137258071,0
1618,127.5,5.5,12252.7913791073,0
1619,127.5,6.5,12230.4826944356,0.105389136164897
1620,127.5,7.5,12204.4720611718,0
1626,127.5,8.5,12174.7669363153,0
1627,127.5,9.5,12141.3758392686,0
1657,128.5,11.5,12063.5751110476,0.689288856480309
1658,128.5,12.5,12019.1878193681,0
1659,128.5,13.5,11971.1592313456,0.310187866101779
1660,128.5,14.5,11919.5031576378,0.30353856401894
1661,128.5,15.5,11864.2344618444,0.419411479035301
1662,128.5,16.5,11805.3690583309,0.494408920448728
1663,128.5,17.5,11742.9239098661,0.854853939489756
1664,128.5,18.5,11676.9170250703,0.767976591226092
1665,128.5,19.5,11607.3674556651,0.367232275836198
1667,128.5,20.5,11534.2952935211,0.213730762468021
1668,128.5,21.5,11457.7216674956,0.412051042432178
1669,128.5,22.5,11377.6687400526,0.678518062032244
1671,128.5,24.5,11207.2187769577,0
1672,128.5,25.5,11116.8712006804,0.0129912759296088
1673,128.5,26.5,11023.1432333443,0.00202655804406174
1674,128.5,27.5,10926.0621466725,0
1675,128.5,28.5,10825.6562207627,0
1676,128.5,29.5,10721.9547389842,0
1678,128.5,30.5,10614.9879825991,0
1679,128.5,31.5,10504.7872250978,0.0816493409142044
1680,128.5,32.5,10391.3847262419,0.580377132525458
1681,128.5,33.5,10274.8137258071,0.361495841129793
1682,128.5,34.5,10155.1084370167,1.11957393799907
1683,128.5,35.5,10032.3040396606,0.435138717111745
1688,128.5,5.5,12252.7913791073,0.66884809928148
1689,128.5,6.5,12230.4826944356,0.514496776976714
1690,128.5,7.5,12204.4720611718,0
1697,128.5,8.5,12174.7669363153,0
1698,128.5,9.5,12141.3758392686,0.307979014605376
1701,129.5,-10.5,12104.3083506663,0
1704,129.5,-13.5,11971.1592313456,0
